frame_idx,state,path_id,path_index,path_s,match_distance_px,angle_error_deg,signed_angle_error_deg
139,tracking,0,216,239.39,12.88632778,22.49955136,22.49955136
140,tracking,0,219,241.1396,11.85329659,20.12410412,20.12410412
141,tracking,0,219,241.1396,11.85329659,20.12410412,20.12410412
142,tracking,0,219,241.1396,11.85329659,20.12410412,20.12410412
143,tracking,0,219,241.1396,11.85329659,20.12410412,20.12410412
144,tracking,0,219,241.1396,11.85329659,20.12410412,20.12410412
145,tracking,0,219,241.1396,11.85329659,20.12410412,20.12410412
146,tracking,0,219,241.1396,11.85329659,20.12410412,20.12410412
147,tracking,0,219,241.1396,11.85329659,20.12410412,20.12410412
148,tracking,0,219,241.1396,11.85329659,20.12410412,20.12410412
149,tracking,0,219,241.1396,11.85329659,20.12410412,20.12410412
150,tracking,0,218,240.5545,12.86281568,22.25770558,22.25770558
151,tracking,0,218,240.5545,12.86281568,22.25770558,22.25770558
152,tracking,0,218,240.5545,12.86281568,22.25770558,22.25770558
153,tracking,0,218,240.5545,12.86281568,22.25770558,22.25770558
154,tracking,0,218,240.5545,12.86281568,22.25770558,22.25770558
155,tracking,0,218,240.5545,12.86281568,22.25770558,22.25770558
156,tracking,0,218,240.5545,12.86281568,22.25770558,22.25770558
157,tracking,0,218,240.5545,12.86281568,22.25770558,22.25770558
158,tracking,0,218,240.5545,12.86281568,22.25770558,22.25770558
159,tracking,0,218,240.5545,12.86281568,22.25770558,22.25770558
160,tracking,0,218,240.5545,11.86359888,20.38383856,20.38383856
161,tracking,0,218,240.5545,11.86359888,20.38383856,20.38383856
162,tracking,0,218,240.5545,11.86359888,20.38383856,20.38383856
163,tracking,0,218,240.5545,11.86359888,20.38383856,20.38383856
164,tracking,0,218,240.5545,11.86359888,20.38383856,20.38383856
165,tracking,0,218,240.5545,11.86359888,20.38383856,20.38383856
166,tracking,0,218,240.5545,11.86359888,20.38383856,20.38383856
167,tracking,0,218,240.5545,11.86359888,20.38383856,20.38383856
168,tracking,0,218,240.5545,11.86359888,20.38383856,20.38383856
169,tracking,0,218,240.5545,11.86359888,20.38383856,20.38383856
170,tracking,0,218,240.5545,12.86281568,22.37251556,22.37251556
171,tracking,0,218,240.5545,12.86281568,22.37251556,22.37251556
172,tracking,0,218,240.5545,12.86281568,22.37251556,22.37251556
173,tracking,0,218,240.5545,12.86281568,22.12649124,22.12649124
174,tracking,0,218,240.5545,12.86281568,22.12649124,22.12649124
175,tracking,0,218,240.5545,12.86281568,22.12649124,22.12649124
176,tracking,0,218,240.5545,12.86281568,22.12649124,22.12649124
177,tracking,0,218,240.5545,12.86281568,22.12649124,22.12649124
178,tracking,0,218,240.5545,12.86281568,22.12649124,22.12649124
179,tracking,0,218,240.5545,12.86281568,22.12649124,22.12649124
180,tracking,0,216,239.39,12.88632778,22.61817601,22.61817601
181,tracking,0,216,239.39,12.88632778,22.34969588,22.34969588
182,tracking,0,216,239.39,12.88632778,22.34969588,22.34969588
183,tracking,0,216,239.39,12.88632778,22.34969588,22.34969588
184,tracking,0,216,239.39,12.88632778,22.34969588,22.34969588
185,tracking,0,216,239.39,12.88632778,22.34969588,22.34969588
186,tracking,0,216,239.39,12.88632778,22.34969588,22.34969588
187,tracking,0,216,239.39,12.88632778,22.34969588,22.34969588
188,tracking,0,216,239.39,12.88632778,22.34969588,22.34969588
189,tracking,0,216,239.39,12.88632778,22.34969588,22.34969588
190,tracking,0,269,273.8092,7.773173925,6.608428632,6.608428632
191,tracking,0,269,273.8092,7.773173925,6.608428632,6.608428632
192,tracking,0,269,273.8092,7.773173925,6.608428632,6.608428632
193,tracking,0,269,273.8092,7.773173925,6.608428632,6.608428632
194,tracking,0,269,273.8092,7.773173925,6.608428632,6.608428632
195,tracking,0,269,273.8092,7.773173925,6.608428632,6.608428632
196,tracking,0,269,273.8092,7.773173925,6.608428632,6.608428632
197,tracking,0,269,273.8092,7.773173925,6.608428632,6.608428632
198,tracking,0,269,273.8092,7.773173925,6.608428632,6.608428632
199,tracking,0,269,273.8092,7.773173925,6.608428632,6.608428632
200,tracking,0,310,334.367,3.897516902,2.720395738,2.720395738
201,tracking,0,311,336.8099,3.033071579,0.740004587,0.740004587
202,tracking,0,311,336.8099,3.033071579,0.740004587,0.740004587
203,tracking,0,311,336.8099,3.033071579,0.740004587,0.740004587
204,tracking,0,311,336.8099,3.033071579,0.740004587,0.740004587
205,tracking,0,311,336.8099,3.033071579,0.740004587,0.740004587
206,tracking,0,311,336.8099,3.033071579,0.740004587,0.740004587
207,tracking,0,311,336.8099,3.033071579,0.740004587,0.740004587
208,tracking,0,311,336.8099,3.033071579,0.740004587,0.740004587
209,tracking,0,311,336.8099,3.033071579,0.740004587,0.740004587
210,tracking,0,350,395.4384,2.123384139,5.311533885,-5.311533885
211,tracking,0,351,396.3665,1.183117845,5.360856343,-5.360856343
212,tracking,0,351,396.3665,1.183117845,5.360856343,-5.360856343
213,tracking,0,351,396.3665,1.183117845,5.360856343,-5.360856343
214,tracking,0,351,396.3665,1.183117845,5.360856343,-5.360856343
215,tracking,0,351,396.3665,1.183117845,5.360856343,-5.360856343
216,tracking,0,351,396.3665,1.183117845,5.360856343,-5.360856343
217,tracking,0,351,396.3665,1.183117845,5.360856343,-5.360856343
218,tracking,0,351,396.3665,1.183117845,5.360856343,-5.360856343
219,tracking,0,351,396.3665,1.183117845,5.360856343,-5.360856343
220,tracking,0,404,445.2423,2.346268112,14.33589526,-14.33589526
221,tracking,0,404,445.2423,2.346268112,14.33589526,-14.33589526
222,tracking,0,404,445.2423,2.346268112,14.33589526,-14.33589526
223,tracking,0,404,445.2423,2.346268112,14.33589526,-14.33589526
224,tracking,0,404,445.2423,2.346268112,14.33589526,-14.33589526
225,tracking,0,404,445.2423,2.346268112,14.33589526,-14.33589526
226,tracking,0,404,445.2423,2.346268112,14.33589526,-14.33589526
227,tracking,0,404,445.2423,2.346268112,14.33589526,-14.33589526
228,tracking,0,404,445.2423,2.346268112,14.33589526,-14.33589526
229,tracking,0,404,445.2423,2.346268112,14.33589526,-14.33589526
230,tracking,0,420,458.2707,4.398281269,9.109892942,-9.109892942
231,tracking,0,420,458.2707,4.398281269,9.109892942,-9.109892942
232,tracking,0,420,458.2707,4.398281269,9.109892942,-9.109892942
233,tracking,0,420,458.2707,4.398281269,9.109892942,-9.109892942
234,tracking,0,420,458.2707,4.398281269,9.109892942,-9.109892942
235,tracking,0,420,458.2707,4.398281269,9.109892942,-9.109892942
236,tracking,0,420,458.2707,4.398281269,9.109892942,-9.109892942
237,tracking,0,420,458.2707,4.398281269,9.109892942,-9.109892942
238,tracking,0,420,458.2707,4.398281269,9.109892942,-9.109892942
239,tracking,0,420,458.2707,4.398281269,9.109892942,-9.109892942
240,tracking,0,452,484.3741,7.136786715,2.892022793,-2.892022793
241,tracking,0,452,484.3741,7.136786715,2.892022793,-2.892022793
242,tracking,0,452,484.3741,7.136786715,2.892022793,-2.892022793
243,tracking,0,452,484.3741,7.136786715,2.892022793,-2.892022793
244,tracking,0,452,484.3741,7.136786715,2.892022793,-2.892022793
245,tracking,0,452,484.3741,7.136786715,2.892022793,-2.892022793
246,tracking,0,452,484.3741,7.136786715,2.892022793,-2.892022793
247,tracking,0,452,484.3741,7.136786715,2.892022793,-2.892022793
248,tracking,0,452,484.3741,7.136786715,2.892022793,-2.892022793
249,tracking,0,452,484.3741,7.136786715,2.892022793,-2.892022793
250,tracking,0,491,520.7428,2.5056327,0.508809256,0.508809256
251,tracking,0,491,520.7428,2.5056327,0.508809256,0.508809256
252,tracking,0,491,520.7428,2.5056327,0.508809256,0.508809256
253,tracking,0,491,520.7428,2.5056327,0.508809256,0.508809256
254,tracking,0,491,520.7428,2.5056327,0.508809256,0.508809256
255,tracking,0,491,520.7428,2.5056327,0.508809256,0.508809256
256,tracking,0,491,520.7428,2.5056327,0.508809256,0.508809256
257,tracking,0,491,520.7428,2.5056327,0.508809256,0.508809256
258,tracking,0,491,520.7428,2.5056327,0.508809256,0.508809256
259,tracking,0,491,520.7428,2.5056327,0.508809256,0.508809256
260,tracking,0,530,554.5913,9.354125913,11.53527106,11.53527106
261,tracking,0,530,554.5913,9.354125913,11.53527106,11.53527106
262,tracking,0,530,554.5913,9.354125913,11.53527106,11.53527106
263,tracking,0,530,554.5913,9.354125913,11.53527106,11.53527106
264,tracking,0,530,554.5913,9.354125913,11.53527106,11.53527106
265,tracking,0,530,554.5913,9.354125913,11.53527106,11.53527106
266,tracking,0,530,554.5913,9.354125913,11.53527106,11.53527106
267,tracking,0,530,554.5913,9.354125913,11.53527106,11.53527106
268,tracking,0,530,554.5913,9.354125913,11.53527106,11.53527106
269,tracking,0,530,554.5913,9.354125913,11.53527106,11.53527106
270,tracking,0,563,578.3066,11.49291106,6.650928748,6.650928748
271,tracking,0,563,578.3066,11.49291106,6.650928748,6.650928748
272,tracking,0,563,578.3066,11.49291106,6.650928748,6.650928748
273,tracking,0,563,578.3066,11.49291106,6.650928748,6.650928748
274,tracking,0,563,578.3066,11.49291106,6.650928748,6.650928748
275,tracking,0,563,578.3066,11.49291106,6.650928748,6.650928748
276,tracking,0,563,578.3066,11.49291106,6.650928748,6.650928748
277,tracking,0,563,578.3066,11.49291106,6.650928748,6.650928748
278,tracking,0,563,578.3066,11.49291106,6.650928748,6.650928748
279,tracking,0,563,578.3066,11.49291106,6.650928748,6.650928748
280,tracking,0,575,587.7819,13.8417738,8.75045916,8.75045916
281,tracking,0,575,587.7819,13.8417738,8.75045916,8.75045916
282,tracking,0,574,586.9726,12.98802512,8.185567757,8.185567757
283,tracking,0,574,586.9726,12.98802512,8.185567757,8.185567757
284,tracking,0,574,586.9726,12.98802512,8.185567757,8.185567757
285,tracking,0,574,586.9726,12.98802512,8.185567757,8.185567757
286,tracking,0,574,586.9726,12.98802512,8.185567757,8.185567757
287,tracking,0,574,586.9726,12.98802512,8.185567757,8.185567757
288,tracking,0,574,586.9726,12.98802512,8.185567757,8.185567757
289,tracking,0,574,586.9726,12.98802512,8.185567757,8.185567757
290,tracking,0,598,607.4009,8.282761665,9.219824204,9.219824204
291,tracking,0,598,607.4009,8.282761665,9.219824204,9.219824204
292,tracking,0,598,607.4009,8.282761665,9.219824204,9.219824204
293,tracking,0,598,607.4009,8.282761665,9.219824204,9.219824204
294,tracking,0,598,607.4009,8.282761665,9.219824204,9.219824204
295,tracking,0,598,607.4009,8.282761665,9.219824204,9.219824204
296,tracking,0,598,607.4009,8.282761665,9.219824204,9.219824204
297,tracking,0,598,607.4009,8.282761665,9.219824204,9.219824204
298,tracking,0,598,607.4009,8.282761665,9.219824204,9.219824204
299,tracking,0,598,607.4009,8.282761665,9.219824204,9.219824204
300,tracking,0,637,638.239,9.181263084,7.968709261,7.968709261
301,tracking,0,637,638.239,9.181263084,8.368976244,8.368976244
302,tracking,0,637,638.239,9.181263084,8.368976244,8.368976244
303,tracking,0,637,638.239,9.181263084,8.368976244,8.368976244
304,tracking,0,637,638.239,9.181263084,8.368976244,8.368976244
305,tracking,0,637,638.239,9.181263084,8.368976244,8.368976244
